ELEMEN INFORMASI YANG DISERAHKAN UNTUK 2D SEISMIC PROCESS DATA,
BA_LONG_NAME,The legal name of a business associate. (Which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik Data Olahan Seismik 2D dalam Media, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi seismik, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXX… (Nama prospect/project)-ZZZZZZZZ (Nomor AFE, khusus untuk selain SURVEI UMUM). "
,Contoh: 2015-BUNYU 2D-15-0007
PROCESSING_COMPANY,Business associate that did the processing.
,Nama Badan Hukum yang melakukan processing seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT ELNUSA
START_DATE,The date that processing started.
,Tanggal processing dimulai.
,Contoh: 01/11/2015
RCRD_REC_LENGTH,The length of the recorded record for each shot
,Panjang dari rekaman seismik dalam detik.
,"Contoh: 6,00"
RCRD_REC_LENGTH_OUOM ,"The units of measure used during initial data acquisition, usually seconds."
,Satuan unit pengukuran panjang rekaman dalam detik: s.
,Contoh: s
RCRD_ SAMPLE_RATE ,The interval between field data samples.
,Interval waktu dari sampel data dalam milidetik.
,"Contoh: 2,00"
RCRD_ SAMPLE_RATE_OUOM ,"The units of measure used during initial data acquisition, usually milliseconds."
,Satuan unit pengukuran dalam milidetik: ms.
,Contoh: ms
LINE_NAME,Authorized or preferred version of the line name to be used for reporting and mapping.
,Nama lintasan seismik dengan format: YYYY (Tahun akuisisi) XXXX … (Area)-123 (Nomor lintasan)
,Contoh:  2015BUNYU-002
FIRST_SEIS_POINT_ID,Unique identifier for the first seismic point associated with an activity.
,Identifikasi titik tembak pertama dalam satu lintasan.
,Contoh: 1001
LAST_SEIS_POINT_ID,Unique identifier for the last seismic point associated with an activity.
,Identifikasi titik tembak terakhir dalam satu lintasan.
,Contoh: 1655
CREATE_DATE,The date on which the physical rendering of the item was created
,Tanggal data direkam ke dalam media.
,Contoh: 27/01/2016
PROC_SET_TYPE,"The type of processing step completed, such as migration, stack, flattening etc."
,"Jenis processing, misal: RAW FIELD, MIGRATION, STACK, FLATTENING, PSTM, PSDM , GATHER BEFORE PSTM, GATHER AFTER PSTM, GATHER AFTER PSDM, ANGLE STACK, VELOCITY (DAN LAIN-LAIN)."
,Contoh: MIGRATION
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: TAPE MAGNETIK LTO
TAPE_NUMBER,The number assigned to the tape on which the record was made.
,Nomor dari media dengan format: XXX.
,Contoh: 001
RCRD_FORMAT_TYPE,"May be analog, SEG B, SEG Y etc"
,"Format dari File: SEG-D Rev 2.1, SEG-D, Rev 3.0, SEG-D, Rev 3.1, SEG Y rev 1, SEG-Y revision 2.0. "
,Contoh: SEG Y rev 1
POLARITY,The polarity of certain types of seismic information item.
,"Polaritas dari paparan Seismik: NORMAL, REVERSE."
,Contoh: NORMAL
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum. "
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA 
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama fasilitas tempat penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER 
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: BOX
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier.
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-2-06E-29-07-00-200
REMARK,Narrative remarks relating to this row of data.
,Keterangan informasi yang ingin ditambahkan terkait Data Olahan Seismik 2D dalam Media.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX