ELEMEN INFORMASI YANG DISERAHKAN UNTUK 3D SEISMIC SUMMARY,
BA_LONG_NAME,The legal name of a business associate. (Which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik data Survei Seismik 3D, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi seismik, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXXâ€¦ (Nama prospect/project)-ZZZZZZZZ (Nomor AFE,khusus untuk selain SURVEI UMUM)."
,Contoh:  2006-BUNYU 3D-ZZZZZZZZ
AREA_SIZE,The size of the area where the seismic set is not linear
,Luas area dari survei 3D.
,"Contoh: 30,00"
AREA_SIZE_OUOM,Original unit of measure
,Unit dari Pengukuran.
,Contoh: km2
ACQTN_INLINE_BIN_SIZE,The inline bin size that was planned for during acquisition.
,Bin size Inline yang direncanakan selama akuisisi.
,"Contoh: 20,00"
ACQTN_INLINE_BIN_SIZE_OUOM,Units of measurement
,Satuan pengukuran dalam meter: m.
,Contoh: m
ACQTN_XLINE_BIN_SIZE,The xline bin size that was planned for during acquisition.
,Bin size Xline yang direncanakan selama akuisisi.
,"Contoh: 20,00"
ACQTN_XLINE_BIN_SIZE_OUOM,Units of measurement
,Satuan pengukuran dalam meter: m.
,Contoh: m
SEIS_DIMENSION,"The dimension or geometry of the seismic data. May be 1D, 2D, 3D, swath, 3D water bottom."
,"Dimensi atau geometri dari survei seismik: 1D, 2D, 3D, SWATH, 3D WATER BOTTOM."
,Contoh: 3D
START_DATE ,Date on which the acquisition survey commenced.
,Tanggal dimulainya survei seismik sesuai dokumen laporan survei seismik.
,Contoh: 01/01/2006
SHOT_BY,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium."
,Nama Badan Hukum yang melakukan survei seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT DAQING CITRA PETROLEUM TECHNOLOGY SERVICES
CREW_LONG_NAME,Full name for the crew.
,Nama kelompok pelaksana survei.
,Contoh: S-002
ACQTN_SHOT_LINE_SPACING,Nominal spacing of shot lines
,Jarak antara lintasan shot point /shot line interval.
,"Contoh: 280,00"
ACQTN_SHOT_LINE_SPACING_OUOM,The units of measure used during initial data acquisition.
,Satuan unit pengukuran yang digunakan selama akuisisi dalam satuan Meter.
,Contoh: m
RCVR_SPACING ,Nominal distance between individual receivers in the array
,Jarak antar receiver dalam satu array/Jarak antara dua receiver yang berturutan/grup interval.
,"Contoh: 4,00"
RCVR_SPACING_OUOM,The Original units of measure.
,Satuan unit pengukuran yang digunakan selama akuisisi dalam satuan Meter.
,Contoh: m
RCVR_LINE_SPACING ,Nominal spacing of receiver line.
,Jarak antara lintasan receiver /grup line interval.
,"Contoh: 240,00"
RCVR_LINE_SPACING_OUOM ,The units of measure used during initial data acquisition.
,Satuan unit pengukuran yang digunakan selama akuisisi dalam satuan Meter.
,Contoh: m
SEIS_3D_TYPE,"The type of 3D that has been completed, such as broadside, side shoot, inline etc."
,"Jenis dari 3D yang dilakukan: BROADSIDE, SIDE SHOOT, INLINE, ORTHOGONAL, SPLIT SPREAD (DAN LAIN-LAIN)."
,Contoh: SPLIT SPREAD
ENERGY_TYPE,"Unique ID for energy used, dynamite, airgun, vibroseis."
,"Sumber Energy yang digunakan: DYNAMITE, AIRGUN, VIBROSEIS."
,Contoh: DYNAMITE
FOLD_COVERAGE,"The fold coverage that was created for this binning. In this case, coverage is created during processing, rather than during acquisition."
,Fold coverage yang dibuat ketika processing.
,"Contoh: 69,00"
RCRD_CHANNEL_COUNT ,Number of recording channels used
,Jumlah dari channel yang dipakai.
,"Contoh: 1120,00"
RCRD_REC_LENGTH,The length of the recorded record for each shot
,Panjang dari rekaman seismik dalam detik.
,"Contoh: 6,00"
RCRD_REC_LENGTH_OUOM ,"The units of measure used during initial data acquisition, usually seconds"
,Satuan unit pengukuran panjang rekaman dalam detik: s.
,Contoh: s
RCRD_ SAMPLE_RATE ,The interval between field data samples
,Interval waktu dari sampel data dalam milidetik.
,"Contoh: 2,00"
RCRD_ SAMPLE_RATE_OUOM ,"The units of measure used during initial data acquisition, usually milliseconds."
,Satuan unit pengukuran dalam milidetik: ms.
,Contoh: ms
ALIAS_LONG_NAME,Alternative name by which the seismic line or navigation may be known.
,Nama  survei/project yang tertulis pada Observer report.
,Contoh: SEISMIK 3D BLOCK BUNYU
ENVIRONMENT,"In which seismic was collected (marine, land, transition)"
,"Lingkungan pengambilan data seismik: MARINE, LAND, TRANSITION."
,Contoh: LAND
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait 3D Seismic Summary
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX