ELEMEN INFORMASI YANG DISERAHKAN UNTUK BASIN,
,
PROJECT_NAME,The name assigned to the project.
,"Nama kajian atau penelitian tentang basin atau cekungan di Indonesia yang dilakukan lembaga berwenang, ditulis dengan format : YYYY (Tahun kajian- XXXXXXXXâ€¦(Nama kajian)-ZZZZZZ (No anggaran, jika kajian dibiayai pemerintah)."
,Contoh : 2008-LAPORAN AKHIR PEMBUATAN PORTOFOLIO EKSPLORASI HIDROKARBON DI KKKS INDONESIA- ZZZZZZ
STRAT_NAME_SET_ID,"Unique identifier for the stratigraphic name set. A stratigraphic name set is an unordered collection of stratigraphic units, that may be in use for a Lexicon, a geographic area, a project, a company etc."
,Nama basin atau cekungan yang dihasilkan dari sebuah kajian dari lembaga yang berwenang. 
,Contoh: CEKUNGAN SUMATERA UTARA
STRAT_STATUS,"The status of the stratigraphic unit, such as whether the strat unit is currently in use, obsolete, replaced etc."
,"Status dari Basin: CEKUNGAN SEDIMEN DENGAN PRODUKSI HIDROKARBON, CEKUNGAN SEDIMEN DENGAN PENEMUAN HIDROKARBON, CEKUNGAN SEDIMEN DENGAN INDIKASI HIDROKARBON, CEKUNGAN SEDIMEN DENGAN STATUS BELUM ADA PENEMUAN HIDROKARBON, CEKUNGAN SEDIMEN TERSIER DAN LEBIH TUA, CEKUNGAN BELUM DIEKSPLORASI, CEKUNGAN TERSIER, CEKUNGAN PRATERSIER, CEKUNGAN PRASTERSIER TERSIER,  MATURE, SEMI MATURE, FRONTIER, DRILLED, UNDRILLED, PRODUCING, DRILLED WITH DISCOVERY."
,Contoh: CEKUNGAN SEDIMEN DENGAN PRODUKSI HIDROKARBON.
PRODUCT_TYPE,"A reference table identifying the type of pro duct (fluid) such as GAS, OIL, WATER, NGL, etc. Includes the less comm on products like STEAM, METHANE, BUTANE, HELIUM, etc."
,"Type hidrokarbon yang dihasilkan dari cekungan: MINYAK, GAS, MINYAK DAN GAS."
,Contoh: MINYAK DAN GAS
RESERVE_CLASS_ID,The reserve classed for identifying the confidence level and producing status of the reserve volumes
,"Klasifikasi dari nilai reserve yang dihasilkan: PROBABLE, POSSIBLE, PROVEN, SPECULATIVE, HIPOTESIS."
,Contoh: PROBABLE (DUMMY)
OPEN_BALANCE,The initial reserves volume at the start of the current reserves evaluation period.
,Potensi resources cekungan pada saat perhitungan awal.
,Contoh: XXXXXXX
OPEN_BALANCE_OUOM,Original unit of measure for a value.
,"Satun dari nilai reserve: MMBO, BCF"
,Contoh: MMBO
SIZE_TYPE,"The type of size provides a contextual framework for the Gross and Net sizes listed. May be on shore, off shore, deep water or may be based on interest type."
,"Type dari lokasi cekungan berada: OFFSHORE, ONSHORE, OFFSHORE DAN ONSHORE"
,Contoh: OFFSHORE DAN ONSHORE
GROSS_SIZE,The gross size for the land right. 
,Luas keseluruhan cekungan dalam kilometer persegi.
,"Contoh: 87200,00"
SIZE_OUOM,Usually hectares or acres.
,Satuan luas kilometer persegi yang mengacu pada International System of Unit (SI).
,Contoh: km2
STRAT_TYPE,"The category of stratigraphy that the STRAT UNIT is described within, such as lithostratigraphic, chronostratigraphic, biostratigraphic, radiometric etc."
,"Type pembentukan cekungan akibat pergerakan lempeng: CONVERGENT, DIVERGEN, SESAR, MARGIN, TRANSFORM."
,Contoh: CONVERGENT
FAULT_TYPE,"The type of fault. For example normal, reverse, strike, slip, or thrust."
,"Type utama dari pergerakan struktur didalam cekungan: FAULTING, SAGGING, FAULTING DAN SAGGING."
,Contoh: FAULTING.
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: SKK MIGAS
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX