ELEMEN INFORMASI YANG DISERAHKAN UNTUK DIGITAL MAPS AND TECHNICAL DRAWING,
BA_LONG_NAME,The legal name of a business associate. (which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
TITLE,The title of the item 
,Judul dari Peta Dan Gambar Teknik.
,Contoh: BASE MAP BUNYU ISLAND
CREATOR_NAME,"The full name of a company or person as it appears on documentation, to be used in the case where the user does not wish to include the contact in the list of valid business associates (BUSINESS ASSOCIATE). "
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum atau individu yang tercantum di Peta Dan Gambar Teknik.
,Contoh: PT PERTAMINA EP
CREATE_DATE,the date on which the physical rendering of the item was created
,Tanggal pembuatan Peta Dan Gambar Teknik.
,Contoh: 01/12/1979
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF etc."
,Format data digital: GEOTIFF.
,Contoh: GEOTIFF
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed"
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: CD-R
MAP_SCALE,"Scale of the map, such as 1:25000 or 1:50000"
,"Skala dari gambar: 1:25000, 1:50000, 1:20000"
,Contoh: 1:20000
PROJECTION_TYPE,"A reference table identifying valid classifications of projections used by individual map projections. For example, Mercator, Lambert, Polyconic,"
,Nama dari system proyeksi.
,Contoh: UTM
GEODETIC_DATUM_NAME,Common name given to the geodetic datum
,Nama dari datum: WGS-84.
,Contoh: WGS-84
DOCUMENT_TYPE,The type of document. ie: monthly periodical or technical publication or specificiation 
,Jenis dari gambar:
,1.   SUB-SURFACE
,2.   SURFACE
,3.   TECHNICAL DRAWING
,4.   (DAN LAIN-LAIN).
, Contoh: SURFACE
ITEM_CATEGORY,"The category of information item, such as acquisition support products, trace products etc."
,Materi Laporan: 
,1.1.   PETA MAGNETIK
,1.2.   PETA GRAVITY
,1.3.   PETA RESISTIVITY
,1.4.   PETA GEOLOGY
,1.5.   PETA TIME HORIZON
,1.6.   PETA STRUKTUR
,1.7.   ISOPACH
,1.8.   ISCHORE
,1.9.   ISOCHORN
,2.1.  PENCITRAAN MUKA BUMI
,2.2.  PETA SEISMIK
,2.3.  PETA KOORDINAT
,3.1. PETA JALUR
,3.2. PETA INSTALASI
,3.3. PETA ARSITEKTUR
,4. (DAN LAIN-LAIN).
,Contoh: PETA SEISMIK
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,"Directory penyimpanan data (harus standar dengan (W3C) World WIDE WEB Consortium, dengan memakai Uniform Resource Identifier (URI) dan komponen terkaitnya, Contoh: URL dan URN, juga kompatibel dengan standar RFC 1959 dan W3C untuk FTP."
,Contoh: \BUNYU\AO\MAP\
ORIGINAL_FILE_NAME,"The name of the file that was received to be catalogued, such as abcd.xls."
,Nama dari file beserta ekstensi yang berlaku untuk jenis file yang diserahkan.
,Contoh: BASE_MAP_BUNYU_ISLAND_DRW-3001.TIF
PASSWORD,"The code or password used to access a userID (use ALIAS NAME). If you use this column, we strongly recommend encrypting or hashing the code so that security is less compromised."
,Kode hashing MD5 yang dipakai oleh hash function untuk membuka file.
,Contoh: F6126AE7098D6F2B1B97789317EFB653
DIGITAL_SIZE,"The size of a digital file, in kb or Mb."
,Ukuran file dalam byte.
,Contoh: 51227528
DIGITAL_SIZE_UOM,Whether the file size is expressed as kB or MB.
,Satuan ukur file dalam byte.
,Contoh: byte
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait Peta dan Gambar Digital Teknis.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX