ELEMEN INFORMASI YANG DISERAHKAN UNTUK NON-SEISMIC AND SEISMIC NON-CONVENTIONAL DATA STORED IN MEDIA,
BA_LONG_NAME,The legal name of a business associate. (Which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi data non seismik/seismik konvensional, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXXâ€¦ (Nama prospect/project)-ZZZZZZZZ (Nomor AFE, khusus untuk selain SURVEI UMUM)."
,Contoh: 2015-BUNYU LFPS-ZZZZZZZZ
PROCESSING_COMPANY,Business associate that did the processing.
,Nama Badan Hukum yang melakukan processing seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: UNIVERSITAS GADJAH MADA
START_DATE,The date that processing started.
,Tanggal processing dimulai.
,Contoh: 04/10/2015
SEIS_STATION_TYPE,"Seismic station type such as CD-RP, source, receiver etc"
,Titik stasiun pengukuran.
,Contoh: BN-022
CREATE_DATE,The date on which the physical rendering of the item was created.
,Tanggal data direkam ke dalam media.
,Contoh: 25/11/2015
PROC_SET_TYPE,"The type of processing step completed, such as migration, stack, flattening etc."
,"Jenis processing, misal: ATRIBUT ENERGY, SEISMIK TOMOGRAFI, INVERSI, RAW DATA (DAN LAIN-LAIN)"
,Contoh: ATRIBUT ENERGY
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: TAPE MAGNETIK LTO
TAPE_NUMBER,The number assigned to the tape on which the record was made.
,Nomor dari media dengan format: XXX.
,Contoh: 001
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF, etc."
,"Format dari File: ASCII, UNICODE, SPREADSHEET, WORD PROCESSING (DAN LAIN-LAIN)."
,Contoh: UNICODE
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama fasilitas tempat penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: RACK
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier 
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-2-01C-20-00-00-073
REMARK,Narrative remarks relating to this row of data.
,Keterangan informasi yang ingin ditambahkan terkait data.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX