ELEMEN INFORMASI YANG DISERAHKAN UNTUK SEISMIC INTERPRETATION DATA,
BA_LONG_NAME,The legal name of a business associate. (that which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik Data Seismik Interpretasi, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA"
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
FIELD_NAME,Legal or common given name of the field.
,Nama lapangan yang diberikan sesuai dokumen POD pertama yang disahkan oleh menteri ESDM yang diterbitkan oleh SKK Migas (Diisi jika sudah memiliki POD).
,Contoh: BUNYU
PROJECT_NAME,The name assigned to the project.
,"Nama Project (tahun dan area dilakukan studi ) dengan format: YYYY (Tahun studi) – XXXX…(Nama prospect/project)-ZZZZZZZZ (Nomor AFE study, khusus untuk selain SURVEI UMUM) "
,Contoh: 2012-BUNYU STUDY-ZZZZZZZZZ
INTERPRETER,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium."
,Nama orang atau badan yang melakukan interpretasi seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: R. WIBOWO
INTERP_DATE,Date of interpretation.
,Tanggal dilakukan interpretasi 
,Contoh: 04/10/2015
INTERP_OBJECTIVE,"The objective for the seismic interpretation, such as reservoir delineation, production evaluation, exploration etc."
,"Objective dari interpretasi yang dilakukan: RESERVOIR DELINEATION, PRODUCTION EVALUATION, EXPLORATION (DAN LAIN-LAIN). "
,Contoh: EXPLORATION
INTERP_TYPE,"The type of interpretation, such as time, depth, amplitude, shifts etc."
,"Type dari Interpretasi: TIME, DEPTH, AMPLITUDE, SHIFTS, SEISMIC IMPEDANCE (DAN LAIN-LAIN)."
,Contoh: TIME  
PICK_METHOD,"The method that was used to make the seismic picks, such as automatic picking, manual picking, semi-automated picking etc."
,"Metoda yang dipakai untuk melakukan pick seismik: AUTOMATIC PICKING, MANUAL PICKING, SEMI-AUTOMATED PICKING (DAN LAIN-LAIN)."
,Contoh: MANUAL PICKING.
SW_APPLICATION_ID,The name and version of the application that was made to create this pick.
,"Nama Perangkat lunak yang digunakan untuk melakukan interpretasi sesuai dengan yang terdaftar pada badan resmi pencatatan merek, misal: GEOFRAME, PETREL, IHS KINGDOM (DAN LAIN-LAIN)."
,Contoh: GEOFRAME 
APPLICATION_VERSION,"The version of the application that is used, as assigned by the owner of the application"
,Versi dari perangkat lunak yang dipakai untuk melakukan pengolahan.
,Contoh: 44
TRACE_POSITION,"What position on the trace was picked, such as zero amplitude, peak, trough etc."
,"Penentuan posisi nilai amplitudo nol, puncak atau lembah pada trace seismik: ZERO AMPLITUDE, PEAK, TROUGH (DAN LAIN-LAIN)."
,Contoh: ZERO AMPLITUDE
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: DVD-R
TAPE_NUMBER,The number assigned to the tape on which the record was made.
,Nomor dari media dengan format: XXX.
,Contoh: 001
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF, etc."
,"Format dari File: ASCII, UNICODE, SPREADSHEET, WORD PROCESSING, SEG Y rev 1, SEG-Y revision 2.0 (DAN LAIN-LAIN)."
,Contoh: UNICODE
REMARK,Narrative remarks about this row of data.
,Keterangan Naratif tentang data ini.
,Contoh: DATA SEISMIK INTERPRETASI AREA BUNYU
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,"Directory penyimpanan data (harus standar dengan (W3C) World WIDE WEB Consortium, dengan memakai Uniform Resource Identifier (URI) dan komponen terkaitnya, Contoh: URL dan URN, juga kompatibel dengan standar RFC 1959 dan W3C untuk FTP."
,Contoh: \BUNYU\GEOPHYSICAL_SURVEY\LFPS\PROCESSING\INTERPRETATION
ORIGINAL_FILE_NAME,"The name of the file that was received to be catalogued, such as abcd.xls."
,Nama dari file beserta ekstensi yang berlaku untuk jenis file yang diserahkan.
,Contoh: 2015_BN-22_SEIS_INTERP.TXT
PASSWORD,"The code or password used to access a userID (use ALIAS NAME). If you use this column, we strongly recommend encrypting or hashing the code so that security is less compromised"
,Kode hashing MD5 yang dipakai oleh hash function untuk membuka file. 
,Contoh: F52E363DC8C1C5641D4D0BF143C96F68
DIGITAL_SIZE,"The size of a digital file, in kb or Mb"
,Ukuran file dalam byte.
,Contoh: 524280
DIGITAL_SIZE_UOM,Whether the file size is expressed as kB or MB
,Satuan ukur file dalam byte.
,Contoh: byte
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX