ELEMEN INFORMASI YANG DISERAHKAN UNTUK 3D SEISMIC NAVIGATION DIGITAL DATA,
BA_LONG_NAME,The legal name of a business associate. (Which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik Data Digital Navigasi Seismik 3D, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi seismik, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXXâ€¦ (Nama prospect/project)-ZZZZZZZZ (Nomor AFE,khusus untuk selain SURVEI UMUM)."
,Contoh:  2006-BUNYU 3D-ZZZZZZZZ
SEIS_DIMENSION,"The dimension or geometry of the seismic data. May be 1D, 2D, 3D, swath, 3D water bottom."
,"Dimensi atau geometri dari survei seismik: 1D, 2D, 3D, SWATH, 3D WATER BOTTOM."
,Contoh: 3D
SHOT_BY,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium."
,Nama Badan Hukum yang melakukan survei seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT DAQING CITRA PETROLEUM TECHNOLOGY SERVICES
PROCESS_DATE,The date on which the process was applied
,Tanggal mulai dilakukan proses pengolahan data navigasi.
,Contoh: 12/11/2005
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF etc."
,"Format Digital: SEG-UKOOA, SEG-P1, SEG-SPS."
,Contoh: SEG-SPS
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,"Directory penyimpanan data (harus standar dengan (W3C) World WIDE WEB Consortium, dengan memakai Uniform Resource Identifier (URI) dan komponen terkaitnya, Contoh: URL dan URN, juga kompatibel dengan standar RFC 1959 dan W3C untuk FTP."
,Contoh: \Pertamina EP\Asset 5\BUNYU\BUNYU\SEISMIC\3D\SUPPORTING_DOCUMENT\NAVIGATION\
ORIGINAL_FILE_NAME,"The name of the file that was received to be catalogued, such as abcd.xls."
,Nama dari file beserta ekstensi yang berlaku untuk jenis file yang diserahkan.
,Contoh: FINALSPS_BUNYU3D.SPS
PASSWORD,"The code or password used to access a userID (use ALIAS NAME). If you use this column, we strongly recommend encrypting or hashing the code so that security is less compromised"
,Kode hashing MD5 yang dipakai oleh hash function untuk membuka file.
,Contoh: E93B674B375906335EACECEAD77FD23F
DIGITAL_SIZE,"The size of a digital file, in kb or Mb"
,Ukuran file dalam byte.
,Contoh: 217088
DIGITAL_SIZE_UOM,Whether the file size is expressed as kB or MB
,Satuan ukur file dalam byte.
,Contoh: byte
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait data navigasi.
,Contoh: BERISI FILE DIGITAL SEISMIK NAVIGASI 3D DAERAH BUNYU
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX