ELEMEN INFORMASI YANG DISERAHKAN UNTUK 3D SEISMIC PROCESSED DIGITAL DATA,
BA_LONG_NAME,The legal name of a business associate. (Which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik Data Olahan Seismik 3D Digital, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi seismik, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXXâ€¦ (Nama prospect/project)-ZZZZZZZZ (Nomor AFE,khusus untuk selain SURVEI UMUM)."
,Contoh:  2006-BUNYU 3D-ZZZZZZZZ
PROCESSING_COMPANY,Business associate that did the processing.
,Nama Badan Hukum yang melakukan processing seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT ELNUSA
START_DATE,The date that processing started.
,Tanggal processing dimulai.
,Contoh: 01/07/2006
RCRD_REC_LENGTH,The length of the recorded record for each shot
,Panjang dari rekaman seismik dalam detik.
,"Contoh: 6,00"
RCRD_REC_LENGTH_OUOM ,"The units of measure used during initial data acquisition, usually seconds"
,Satuan unit pengukuran panjang rekaman dalam detik: s.
,Contoh: s
RCRD_ SAMPLE_RATE ,The interval between field data samples
,Interval waktu dari sampel data dalam milidetik.
,"Contoh: 2,00"
RCRD_ SAMPLE_RATE_OUOM ,"The units of measure used during initial data acquisition, usually milliseconds"
,Satuan unit pengukuran dalam milidetik: ms.
,Contoh: ms
FIRST_NLINE_NO,The number of the first nline in the seismic set.
,Inline pertama dalam seismik 3D.
,Contoh: 1200
LAST_NLINE_NO,The number of the last nline in the seismic set.
,Inline terakhir dalam seismik 3D.
,Contoh: 1310
FIRST_XLINE_NO,The number of the first xline in the seismic set.
,Xline pertama dalam seismik 3D.
,Contoh: 5000
LAST_XLINE_NO,The number of the last xline in the seismic set.
,Xline terakhir dalam seismik 3D.
,Contoh: 5330
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF etc."
,"Format data digital: SEG Y rev 1, SEG-Y revision 2.0."
,Contoh: SEG-Y revision 2.0
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed"
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK"
,Contoh: TAPE MAGNETIK LTO
PROC_SET_TYPE,"The type of processing step completed, such as migration, stack, flattening etc."
,"Jenis processing, misal: MIGRATION, STACK, FLATTENING, PSTM, PSDM , GATHER BEFORE PSTM, GATHER AFTER PSTM, GATHER AFTER PSDM, ANGLE STACK, VELOCITY (DAN LAIN-LAIN)."
,Contoh: GATHER AFTER PSTM
POLARITY,The polarity of certain types of seismic information item.
,"Polaritas dari paparan Seismik: NORMAL, REVERSE."
,Contoh: NORMAL
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,"Directory penyimpanan data (harus standar dengan (W3C) World WIDE WEB Consortium, dengan memakai Uniform Resource Identifier (URI) dan komponen terkaitnya, Contoh: URL dan URN, juga kompatibel dengan standar RFC 1959 dan W3C untuk FTP."
,Contoh: \BUNYU\BUNYU\SEISMIC\3D\PRESTACK\GATHER\
ORIGINAL_FILE_NAME,"The name of the file that was received to be catalogued, such as abcd.xls."
,Nama dari file beserta ekstensi yang berlaku untuk jenis file yang diserahkan.
,Contoh: GP06BUNYU3D_IL1200-1310.SEGY
PASSWORD,"The code or password used to access a userID (use ALIAS NAME). If you use this column, we strongly recommend encrypting or hashing the code so that security is less compromised"
,Kode hashing MD5 yang dipakai oleh hash function untuk membuka file. 
,Contoh: E5D8D59C4D5DD6B0C0D679B5B70FC62C
SW_APPLICATION_ID,The name of the application
,"Nama dari perangkat lunak yang digunakan untuk melakukan processing sesuai yang terdaftar pada badan resmi pencatatan merek misal: PROMAX, GEOVECTEUR, GEOVATION, GEOFRAME (DAN LAIN- LAIN)"
,Contoh: GEOVECTEUR
APPLICATION_VERSION,"The version of the application that is used, as assigned by the owner of the application"
,Versi dari perangkat lunak yang dipakai untuk melakukan pengolahan.
,Contoh: 2.1
DIGITAL_SIZE,"The size of a digital file, in kb or Mb"
,Ukuran file dalam byte.
,Contoh: 1830654720
DIGITAL_SIZE_UOM,whether the file size is expressed as kB or MB
,Satuan ukur file dalam byte.
,Contoh: byte
REMARK,Narrative remarks relating to this row of data.
,Keterangan informasi yang ingin ditambahkan terkait Data Olahan Seismik 3D Digital.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX