ELEMEN INFORMASI YANG DISERAHKAN UNTUK WELL SEISMIC PROFILE DATA STORED IN MEDIA,
BA_LONG_NAME,The legal name of a business associate. (that which has been registered with a corporate registry).
,Nama Badan Hukum Kontraktor Kontrak Kerjasama seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
FIELD_NAME,Legal or common given name of the field
,Nama lapangan yang diberikan sesuai dokumen POD pertama yang disahkan oleh menteri ESDM yang diterbitkan oleh SKK Migas.(diisi jika sudah ada POD)
,Contoh: BUNYU
WELL_NAME,Name assigned to the well. This may be the legal or registered name as it appears on permit or a given name assigned by the operator.
,Nama yang ditetapkan untuk Sumur. Nama Sumur  ini adalah nama yang terdaftar secara legal.
,Contoh: BN-17
ALIAS_LONG_NAME,"Full alias name or code assigned to a well by a partner, agency or application."
,Nama alias dari Well.
,Contoh: BUNYU_NIBUNG-017
UWI,"A unique name, code or number designated as the primary key for this row"
,Kode unik formal dari Sumur yang diberikan oleh SKK Migas.
,Contoh: -
TRIP_DATE,Date the logging tools entered the borehole for this trip.
,Tanggal alat survey memasuki lubang bor untuk satu set survey tertentu atau run date.
,Contoh: 14/12/2006
SURVEY_COMPANY_BA_ID,"BUSINESS_ASSOCIATE code identifying the individual, company, agency or source that ACQUIRED this survey data"
,Nama Badan Hukum yang melakukan pencatatan survey seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT MITRAMANDALA NUSABHAKTI
TOP_DEPTH,The top depth of the log. Can often be calculated by determining the depth of the first index on the cuves associated with the log.
,Kedalaman atas dari survey well seismic profile.
,Contoh: 200
TOP_DEPTH_OUOM,Original unit of measure
,Unit pengukuran dalam milidetik: ms.
,Contoh: ms
BASE_DEPTH,The base depth of the log. Can often be calculated by determining the depth of the last index on the cuves associated with the log
,Kedalaman dasar dari survey well seismic profile. 
,Contoh: 1350
BASE_DEPTH_OUOM,Original unit of measure
,Unit pengukuran dalam milidetik: ms.
,Contoh: ms 
CHECKSHOT_SURVEY_TYPE,"The type of checkshot survey that was conducted to acquire this data, such as VSP, inline checkshot, walkaway checkshot etc."
,"Tipe dari survey checkshot: CHECKSHOT, VSP, SYNTHETIC SEISMOGRAM (DAN LAIN-LAIN)."
,Contoh: VSP
VSP_TYPE,"A reference table identifying valid types of VSP. For example, upgoing, downgoing, ..."
,"Type dari VSP: UPGOING, DOWNGOING, NON VSP."
,Contoh: UPGOING
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF,etc."
,"Format Digital: SEG Y rev 1, SEG-Y revision 2.0."
,Contoh: SEG Y rev 1
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: CD-R
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama dari fasilitas penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER 
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: BOX
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier.
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-2-12A-28-05-00-016
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait data.
,Contoh: BAGIAN DARI VSP REPORT
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX