ELEMEN INFORMASI YANG DISERAHKAN UNTUK WORKING AREA,
AREA_ID,"Identifier for any named area such as a country, province, project, area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum pemilik kontrak Working Area, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA"
,Contoh: BADAN USAHA
EFFECTIVE_DATE,The date on which this row of data first came into effect from a business perspective.
,Tanggal efektif kontrak sesuai dengan dokumen kontrak kerjasama.
,Contoh: 17/09/2005
TERM_EXIRY_DATE,"The date that the current term for this land right will expire, to be used for planning purposes. Can be derived from the EFFECTIVE DATE and the PRIMARY TERM."
,Tanggal berakhirnya kontrak sesuai dengan dokumen kontrak kerjasama.
,Contoh: 16/09/2035
CONTRACT_TYPE,"List of valid types of contract, such as pooling agreement, joint venture, joint operating agreement, farm-out."
,"Jenis kontrak kerjasama: PSC, GROSS SPLIT, TAC, KSO, JOB."
,Contoh: PSC
R_GRANTED_RIGHT_TYPE,"The type of right granted to the holder. May include title, lease, P and NG lease, license, Permit P and NG, SDL, SDA, Exploration license, production license, drilling license, JOA, Pooling agreement etc. Called Document type by some systems."
,"Status Wilayah Kerja sesuai dengan status yang ditetapkan oleh SKK Migas: EKSPLORASI, PRODUKSI, EKSPLOITASI, TERMINASI, PERPANJANGAN. "
,Contoh: PRODUKSI
GROSS_SIZE,Total amount of land measured in hectares/acres in the land right.
,Luas keseluruhan wilayah kerja dalam kilometer persegi.
,"Contoh: 165,70"
GROSS_SIZE_OUOM,Usually hectares or acres
,Satuan luas kilometer persegi yang mengacu pada International System of Unit (SI).
,Contoh: km2
LAND_RIGHT_CATEGORY,The category of land right. May be Mineral or Surface or both Mineral and surface.
,"Katagori dari land right yang digunakan, diusulkan untuk: KONVENSIONAL atau NON KONVENSIONAL."
,Contoh: KONVENSIONAL
PRODUCING_IND,Whether the MA is producing. Derived from the Well status. Put in for performance only. Y = producing
,Penanda status produksi. Y = Produksi.
,Contoh: Y
ORIGINAL_FILE_NAME,"The name of the file that was received to be catalogued, such as abcd.xls."
,Nama dari file GIS (Geographical Information system) yang berisi data spasial wilayah kerja (Working Area Boundary) beserta ekstensi yang berlaku untuk jenis file yang diserahkan.
,Contoh: XXXXXXXX
PASSWORD,"The code or password used to access a userID (use ALIAS NAME). If you use this column, we strongly recommend encrypting or hashing the code so that security is less compromised."
,Kode hashing MD5 yang dipakai oleh hash function untuk membuka file GIS.
,Contoh: A604D47652F7CF0D3BD224A3861D1947
DIGITAL_SIZE,"The size of a digital file, in kb or Mb."
,Ukuran file GIS dalam byte.
,Contoh: 54525954 
DIGITAL_SIZE_UOM,Whether the file size is expressed as kB or MB.
,Satuan ukur file GIS dalam byte.
,Contoh: byte
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media untuk file GIS: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: DVD-R
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,"Directory penyimpanan data GIS dalam media (harus standar dengan (W3C) World WIDE WEB Consortium, dengan memakai Uniform Resource Identifier (URI) dan komponen terkaitnya, Contoh: URL dan URN, juga kompatibel dengan standar RFC 1959 dan W3C untuk FTP."
,Contoh: \PERTAMINA EP\DATA GIS\WILAYAH KERJA
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX